# BEST CASE  (Data loaded from a file)
# 656 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (113 ft/s):  "Iris Ultra Parachute [Cd 2.2 (36.0 oz) 199.9 in^3]"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
78.663,39.957,39.957,-16.047,0.003
78.913,38.736,38.736,-16.043,0.003
79.162,37.516,37.516,-16.043,0.003
79.412,36.295,36.295,-16.043,0.003
79.661,35.075,35.075,-16.043,0.003
79.911,33.855,33.855,-16.04,0.003
80.16,32.635,32.635,-16.04,0.003
80.41,31.415,31.415,-16.04,0.003
80.659,30.196,30.196,-16.037,0.003
80.909,28.976,28.976,-16.037,0.003
81.158,27.757,27.757,-16.037,0.003
81.408,26.537,26.537,-16.037,0.003
81.657,25.318,25.318,-16.033,0.003
81.907,24.099,24.099,-16.033,0.003
82.156,22.881,22.881,-16.033,0.003
82.405,21.662,21.662,-16.033,0.003
82.655,20.443,20.443,-16.03,0.003
82.904,19.225,19.225,-16.03,0.003
83.153,18.007,18.007,-16.03,0.003
83.403,16.789,16.789,-16.027,0.003
83.652,15.571,15.571,-16.027,0.003
83.901,14.353,14.353,-16.027,0.003
84.151,13.135,13.135,-16.027,0.003
84.4,11.917,11.917,-16.024,0.003
84.649,10.7,10.7,-16.024,0.003
84.898,9.483,9.483,-16.024,0.003
85.148,8.265,8.265,-16.02,0.003
85.397,7.048,7.048,-16.02,0.003
85.646,5.832,5.832,-16.02,0.003
85.895,4.615,4.615,-16.02,0.003
86.144,3.398,3.398,-16.017,0.003
86.394,2.182,2.182,-16.017,0.003
# Event GROUND_HIT occurred at t=86.841 seconds
# Event SIMULATION_END occurred at t=86.841 seconds
86.841,0,0,-16.017,0.003
