# BEST 0-5 (Up to date)
# 722 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.893,795.081,126.182,-13.437,22.807
5.943,801.373,125.511,-13.395,22.807
5.993,807.632,124.842,-13.354,22.807
6.043,813.857,124.175,-13.313,22.807
6.093,820.05,123.511,-13.273,22.807
6.143,826.209,122.848,-13.233,22.807
6.193,832.334,122.187,-13.194,22.807
6.243,838.427,121.529,-13.155,22.807
6.293,844.487,120.872,-13.116,22.807
6.343,850.515,120.217,-13.077,22.807
6.393,856.509,119.564,-13.039,22.807
6.443,862.471,118.913,-13.002,22.807
6.493,868.4,118.264,-12.964,22.807
6.543,874.297,117.617,-12.927,22.807
6.593,880.162,116.971,-12.891,22.807
6.643,885.995,116.328,-12.854,22.807
6.693,891.795,115.686,-12.819,22.807
6.743,897.563,115.046,-12.783,22.807
6.793,903.3,114.408,-12.748,22.807
6.843,909.004,113.771,-12.713,22.807
6.893,914.677,113.136,-12.678,22.807
6.943,920.318,112.503,-12.644,22.807
6.993,925.927,111.872,-12.61,22.807
7.043,931.505,111.242,-12.576,22.807
7.093,937.051,110.614,-12.543,22.807
7.143,942.566,109.988,-12.51,22.807
7.193,948.05,109.363,-12.478,22.807
7.243,953.503,108.74,-12.445,22.807
7.293,958.924,108.119,-12.413,22.807
7.343,964.315,107.499,-12.381,22.807
7.393,969.674,106.881,-12.35,22.807
7.443,975.003,106.264,-12.319,22.807
7.493,980.301,105.649,-12.288,22.807
7.543,985.568,105.035,-12.257,22.807
7.593,990.804,104.423,-12.227,22.807
7.643,996.01,103.812,-12.197,22.807
7.693,1001.185,103.203,-12.168,22.807
7.743,1006.33,102.596,-12.138,22.807
7.793,1011.445,101.989,-12.109,22.807
7.843,1016.529,101.385,-12.08,22.807
7.893,1021.583,100.781,-12.052,22.807
7.943,1026.607,100.179,-12.024,22.807
7.993,1031.601,99.579,-11.996,22.807
8.043,1036.565,98.98,-11.968,22.807
8.093,1041.499,98.382,-11.94,22.807
8.143,1046.404,97.786,-11.913,22.807
8.193,1051.278,97.191,-11.886,22.807
8.243,1056.123,96.597,-11.859,22.807
8.293,1060.938,96.005,-11.833,22.807
8.343,1065.723,95.414,-11.807,22.807
8.393,1070.479,94.824,-11.781,22.807
8.443,1075.206,94.236,-11.755,22.807
8.493,1079.903,93.649,-11.73,22.807
8.543,1084.571,93.063,-11.704,22.807
8.593,1089.209,92.478,-11.679,22.807
8.643,1093.818,91.895,-11.655,22.807
8.693,1098.399,91.313,-11.63,22.807
8.743,1102.95,90.732,-11.606,22.807
8.793,1107.472,90.152,-11.582,22.807
8.843,1111.965,89.574,-11.558,22.807
8.893,1116.429,88.997,-11.534,22.807
8.943,1120.865,88.42,-11.511,22.807
8.993,1125.271,87.845,-11.488,22.807
9.043,1129.649,87.272,-11.465,22.807
9.093,1133.998,86.699,-11.442,22.807
9.143,1138.319,86.127,-11.419,22.807
9.193,1142.611,85.557,-11.397,22.807
9.243,1146.875,84.988,-11.375,22.807
9.293,1151.11,84.42,-11.353,22.807
9.343,1155.317,83.852,-11.331,22.807
9.393,1159.495,83.286,-11.31,22.807
9.443,1163.645,82.721,-11.289,22.807
9.493,1167.767,82.158,-11.268,22.807
9.543,1171.861,81.595,-11.247,22.807
9.593,1175.927,81.033,-11.226,22.807
9.643,1179.965,80.472,-11.206,22.807
9.693,1183.974,79.912,-11.185,22.807
9.743,1187.956,79.354,-11.165,22.807
9.793,1191.91,78.796,-11.145,22.807
9.843,1195.835,78.239,-11.126,22.807
9.893,1199.733,77.683,-11.106,22.807
9.943,1203.604,77.128,-11.087,22.807
9.993,1207.446,76.575,-11.068,22.807
10.043,1211.261,76.022,-11.049,22.807
10.093,1215.049,75.47,-11.03,22.807
10.143,1218.808,74.919,-11.011,22.807
10.193,1222.54,74.369,-10.993,22.807
10.243,1226.245,73.819,-10.975,22.807
10.293,1229.922,73.271,-10.957,22.807
10.343,1233.572,72.724,-10.939,22.807
10.393,1237.195,72.177,-10.921,22.807
10.443,1240.79,71.631,-10.904,22.807
10.493,1244.358,71.087,-10.887,22.807
10.543,1247.899,70.543,-10.869,22.807
10.593,1251.412,70,-10.852,22.807
10.643,1254.899,69.458,-10.836,22.807
10.693,1258.358,68.916,-10.819,22.807
10.743,1261.79,68.376,-10.803,22.807
10.793,1265.196,67.836,-10.786,22.807
10.843,1268.574,67.297,-10.77,22.807
10.893,1271.925,66.759,-10.754,22.807
10.943,1275.25,66.222,-10.738,22.807
10.993,1278.547,65.685,-10.723,22.807
11.043,1281.818,65.149,-10.707,22.807
11.093,1285.062,64.614,-10.692,22.807
11.143,1288.28,64.08,-10.677,22.807
11.193,1291.47,63.547,-10.662,22.807
11.243,1294.634,63.014,-10.647,22.807
11.293,1297.772,62.482,-10.632,22.807
11.343,1300.883,61.951,-10.618,22.807
11.393,1303.967,61.42,-10.603,22.807
11.443,1307.025,60.89,-10.589,22.807
11.493,1310.056,60.361,-10.575,22.807
11.543,1313.061,59.833,-10.561,22.807
11.593,1316.039,59.305,-10.547,22.807
11.643,1318.991,58.778,-10.534,22.807
11.693,1321.917,58.252,-10.52,22.807
11.743,1324.816,57.726,-10.507,22.807
11.793,1327.69,57.201,-10.494,22.807
11.843,1330.537,56.677,-10.481,22.807
11.893,1333.357,56.153,-10.468,22.807
11.943,1336.152,55.63,-10.455,22.807
11.993,1338.92,55.108,-10.442,22.807
12.043,1341.663,54.586,-10.43,22.807
12.093,1344.379,54.065,-10.418,22.807
12.143,1347.069,53.544,-10.406,22.807
12.193,1349.733,53.024,-10.393,22.807
12.243,1352.372,52.505,-10.382,22.807
12.293,1354.984,51.986,-10.37,22.807
12.343,1357.57,51.468,-10.358,22.807
12.393,1360.131,50.95,-10.347,22.807
12.443,1362.665,50.433,-10.335,22.807
12.493,1365.174,49.916,-10.324,22.807
12.543,1367.657,49.401,-10.313,22.807
12.593,1370.114,48.885,-10.302,22.807
12.643,1372.545,48.37,-10.291,22.807
12.693,1374.951,47.856,-10.281,22.807
12.743,1377.331,47.342,-10.27,22.807
12.793,1379.685,46.829,-10.26,22.807
12.843,1382.014,46.316,-10.249,22.807
12.893,1384.317,45.804,-10.239,22.807
12.943,1386.594,45.292,-10.229,22.807
12.993,1388.846,44.781,-10.219,22.807
13.043,1391.072,44.27,-10.209,22.807
13.093,1393.273,43.76,-10.2,22.807
13.143,1395.448,43.251,-10.19,22.807
13.193,1397.598,42.741,-10.181,22.807
13.243,1399.723,42.232,-10.171,22.807
13.293,1401.821,41.724,-10.162,22.807
13.343,1403.895,41.216,-10.153,22.807
13.393,1405.943,40.709,-10.144,22.807
13.443,1407.966,40.202,-10.136,22.807
13.493,1409.963,39.695,-10.127,22.807
13.543,1411.935,39.189,-10.118,22.807
13.593,1413.882,38.683,-10.11,22.807
13.643,1415.804,38.178,-10.102,22.807
13.693,1417.7,37.673,-10.093,22.807
13.743,1419.571,37.169,-10.085,22.807
13.793,1421.417,36.665,-10.077,22.807
13.843,1423.238,36.161,-10.07,22.807
13.893,1425.033,35.658,-10.062,22.807
13.943,1426.803,35.155,-10.054,22.807
13.993,1428.549,34.652,-10.047,22.807
14.043,1430.269,34.15,-10.039,22.807
14.093,1431.964,33.648,-10.032,22.807
14.143,1433.633,33.147,-10.025,22.807
14.193,1435.278,32.646,-10.018,22.807
14.243,1436.898,32.145,-10.011,22.807
14.293,1438.493,31.645,-10.004,22.807
14.343,1440.062,31.145,-9.998,22.807
14.393,1441.607,30.645,-9.991,22.807
14.443,1443.127,30.146,-9.985,22.807
14.493,1444.622,29.646,-9.978,22.807
14.543,1446.092,29.148,-9.972,22.807
14.593,1447.537,28.649,-9.966,22.807
14.643,1448.957,28.151,-9.96,22.807
14.693,1450.352,27.653,-9.954,22.807
14.743,1451.722,27.156,-9.948,22.807
14.793,1453.067,26.658,-9.943,22.807
14.843,1454.388,26.161,-9.937,22.807
14.893,1455.683,25.665,-9.932,22.807
14.943,1456.954,25.168,-9.926,22.807
14.993,1458.2,24.672,-9.921,22.807
15.043,1459.421,24.176,-9.916,22.807
15.093,1460.618,23.681,-9.911,22.807
15.143,1461.79,23.185,-9.906,22.807
15.193,1462.936,22.69,-9.901,22.807
15.243,1464.059,22.195,-9.896,22.807
15.293,1465.156,21.7,-9.892,22.807
15.343,1466.229,21.206,-9.887,22.807
15.393,1467.276,20.712,-9.883,22.807
15.443,1468.3,20.218,-9.879,22.807
15.493,1469.298,19.724,-9.875,22.807
15.543,1470.272,19.23,-9.871,22.807
15.593,1471.221,18.737,-9.867,22.807
15.643,1472.146,18.243,-9.863,22.807
15.693,1473.046,17.75,-9.859,22.807
15.743,1473.921,17.258,-9.855,22.807
15.793,1474.771,16.765,-9.852,22.807
15.843,1475.597,16.272,-9.848,22.807
15.893,1476.399,15.78,-9.845,22.807
15.943,1477.175,15.288,-9.842,22.807
15.993,1477.927,14.796,-9.839,22.807
16.043,1478.655,14.304,-9.836,22.807
16.093,1479.358,13.812,-9.833,22.807
16.143,1480.036,13.321,-9.83,22.807
16.193,1480.69,12.829,-9.828,22.807
16.243,1481.319,12.338,-9.825,22.807
16.293,1481.924,11.847,-9.823,22.807
16.343,1482.504,11.356,-9.82,22.807
16.393,1483.059,10.865,-9.818,22.807
16.443,1483.59,10.374,-9.816,22.807
16.493,1484.097,9.883,-9.814,22.807
16.543,1484.578,9.392,-9.812,22.807
16.593,1485.036,8.902,-9.81,22.807
16.643,1485.469,8.411,-9.808,22.807
16.693,1485.877,7.921,-9.807,22.807
16.743,1486.261,7.431,-9.805,22.807
16.793,1486.62,6.94,-9.804,22.807
16.843,1486.955,6.45,-9.802,22.807
16.893,1487.265,5.96,-9.801,22.807
16.943,1487.551,5.47,-9.8,22.807
16.993,1487.812,4.98,-9.799,22.807
17.043,1488.049,4.49,-9.798,22.807
17.093,1488.261,4.001,-9.797,22.807
17.143,1488.449,3.511,-9.796,22.807
17.193,1488.612,3.021,-9.795,22.807
17.243,1488.751,2.531,-9.794,22.807
17.293,1488.865,2.041,-9.794,22.807
17.343,1488.955,1.552,-9.793,22.807
17.393,1489.02,1.062,-9.793,22.807
17.443,1489.061,0.573,-9.793,22.807
17.493,1489.078,0.083,-9.793,22.807
# Event APOGEE occurred at t=17.543 seconds
17.543,1489.07,-0.407,-9.793,22.807
17.593,1489.037,-0.896,-9.792,22.807
17.643,1488.98,-1.386,-9.792,22.807
17.693,1488.898,-1.876,-9.792,22.807
17.743,1488.792,-2.365,-9.791,22.807
17.793,1488.662,-2.855,-9.79,22.807
17.843,1488.507,-3.344,-9.789,22.807
17.893,1488.328,-3.834,-9.788,22.807
17.943,1488.124,-4.323,-9.787,22.807
17.993,1487.895,-4.812,-9.786,22.807
18.043,1487.642,-5.302,-9.785,22.807
18.093,1487.365,-5.791,-9.784,22.807
18.143,1487.063,-6.28,-9.782,22.807
18.193,1486.737,-6.769,-9.78,22.807
18.243,1486.386,-7.258,-9.779,22.807
18.293,1486.011,-7.747,-9.777,22.807
18.343,1485.612,-8.236,-9.774,22.807
18.393,1485.188,-8.724,-9.772,22.807
18.443,1484.739,-9.213,-9.769,22.807
18.493,1484.266,-9.701,-9.766,22.807
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=18.543 seconds
18.543,1483.769,-10.189,-9.763,22.807
18.549,1483.712,-10.239,-8.976,22.807
19.049,1477.472,-14.723,-8.968,22.807
19.549,1469.099,-18.767,-8.086,22.807
20.017,1459.546,-22.052,-7.018,22.807
20.458,1449.228,-24.682,-5.958,22.807
20.911,1437.534,-26.94,-4.983,22.807
21.4,1423.881,-28.923,-4.057,22.807
21.9,1409.023,-30.509,-3.172,22.807
22.4,1393.466,-31.716,-2.415,22.807
22.9,1377.382,-32.62,-1.807,22.807
23.4,1360.906,-33.286,-1.332,22.807
23.9,1344.142,-33.77,-0.968,22.807
24.4,1327.17,-34.117,-0.694,22.807
24.9,1310.05,-34.362,-0.491,22.807
25.4,1292.826,-34.533,-0.34,22.807
25.9,1275.531,-34.648,-0.23,22.807
26.4,1258.189,-34.723,-0.15,22.807
26.9,1240.816,-34.768,-0.091,22.807
27.4,1223.426,-34.793,-0.049,22.807
27.9,1206.027,-34.802,-0.019,22.807
28.4,1188.626,-34.801,0.003,22.807
28.9,1171.228,-34.791,0.019,22.807
29.4,1153.836,-34.776,0.03,22.807
29.9,1136.453,-34.757,0.038,22.807
30.4,1119.08,-34.735,0.044,22.807
30.9,1101.718,-34.711,0.048,22.807
31.4,1084.369,-34.686,0.051,22.807
31.9,1067.033,-34.659,0.053,22.807
32.4,1049.71,-34.632,0.054,22.807
32.9,1032.401,-34.604,0.055,22.807
33.4,1015.106,-34.576,0.056,22.807
33.9,997.825,-34.548,0.056,22.807
34.4,980.558,-34.52,0.056,22.807
34.9,963.305,-34.491,0.057,22.807
35.4,946.066,-34.462,0.058,22.807
35.9,928.842,-34.433,0.059,22.807
36.4,911.633,-34.404,0.059,22.807
36.9,894.439,-34.374,0.059,22.807
37.4,877.259,-34.345,0.059,22.807
37.9,860.094,-34.315,0.059,22.807
38.4,842.944,-34.286,0.059,22.807
38.9,825.808,-34.257,0.058,22.807
39.4,808.687,-34.228,0.058,22.807
39.9,791.58,-34.199,0.058,22.807
40.4,774.488,-34.17,0.058,22.807
40.9,757.411,-34.141,0.058,22.807
41.4,740.347,-34.112,0.057,22.807
41.9,723.298,-34.084,0.057,22.807
42.4,706.264,-34.055,0.057,22.807
42.9,689.243,-34.027,0.057,22.807
43.4,672.237,-33.998,0.057,22.807
43.9,655.245,-33.97,0.056,22.807
44.4,638.267,-33.942,0.056,22.807
44.9,621.303,-33.914,0.056,22.807
45.4,604.352,-33.886,0.056,22.807
45.9,587.416,-33.859,0.055,22.807
46.4,570.494,-33.831,0.055,22.807
46.9,553.585,-33.804,0.055,22.807
47.4,536.69,-33.776,0.055,22.807
47.9,519.809,-33.749,0.054,22.807
48.4,502.941,-33.722,0.054,22.807
48.9,486.087,-33.695,0.054,22.807
49.4,469.246,-33.668,0.055,22.807
49.9,452.419,-33.64,0.055,22.807
50.4,435.606,-33.612,0.055,22.807
50.9,418.807,-33.585,0.056,22.807
51.4,402.021,-33.557,0.056,22.807
51.9,385.25,-33.529,0.056,22.807
52.4,368.492,-33.501,0.055,22.807
52.9,351.749,-33.474,0.055,22.807
53.4,335.019,-33.446,0.055,22.807
53.9,318.303,-33.418,0.055,22.807
54.4,301.6,-33.391,0.055,22.807
54.9,284.911,-33.364,0.055,22.807
55.4,268.236,-33.337,0.054,22.807
55.9,251.575,-33.309,0.054,22.807
56.4,234.927,-33.282,0.054,22.807
56.9,218.292,-33.256,0.054,22.807
57.4,201.671,-33.229,0.054,22.807
57.9,185.064,-33.202,0.053,22.807
58.4,168.469,-33.176,0.053,22.807
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=58.401 seconds
58.9,151.888,-33.149,0.053,22.807
58.901,151.853,-32.649,467.055,22.807
58.902,151.82,-32.196,452.779,22.807
58.903,151.788,-31.756,440.039,22.807
58.904,151.757,-31.328,427.828,22.807
58.905,151.726,-30.912,416.117,22.807
58.906,151.695,-30.507,404.879,22.807
58.907,151.665,-30.113,394.089,22.807
58.908,151.635,-29.73,383.723,22.807
58.909,151.605,-29.356,373.759,22.807
58.91,151.576,-28.992,364.177,22.807
58.911,151.547,-28.637,354.956,22.807
58.912,151.519,-28.291,346.08,22.807
58.913,151.491,-27.953,337.532,22.807
58.914,151.463,-27.624,329.294,22.807
58.915,151.435,-27.302,321.353,22.807
58.916,151.408,-26.989,313.694,22.807
58.917,151.381,-26.682,306.304,22.807
58.918,151.355,-26.383,299.17,22.807
58.919,151.329,-26.091,292.281,22.807
58.92,151.303,-25.805,285.626,22.807
58.921,151.277,-25.526,279.194,22.807
58.922,151.252,-25.253,272.975,22.807
58.923,151.227,-24.986,266.96,22.807
58.924,151.202,-24.725,261.141,22.807
58.925,151.177,-24.47,255.508,22.807
58.926,151.153,-24.22,250.053,22.807
58.927,151.129,-23.975,244.77,22.807
58.928,151.105,-23.735,239.651,22.807
58.929,151.081,-23.5,234.69,22.807
58.93,151.058,-23.271,229.879,22.807
58.931,151.035,-23.045,225.214,22.807
58.932,151.012,-22.825,220.687,22.807
58.933,150.989,-22.608,216.295,22.807
58.934,150.966,-22.396,212.03,22.807
58.935,150.944,-22.188,207.89,22.807
58.936,150.922,-21.985,203.868,22.807
58.937,150.9,-21.785,199.96,22.807
58.938,150.879,-21.588,196.162,22.807
58.939,150.857,-21.396,192.47,22.807
58.94,150.836,-21.207,188.88,22.807
58.941,150.815,-21.022,185.388,22.807
58.942,150.794,-20.84,181.991,22.807
58.943,150.773,-20.661,178.685,22.807
58.944,150.752,-20.486,175.467,22.807
58.945,150.732,-20.313,172.334,22.807
58.946,150.712,-20.144,169.283,22.807
58.947,150.692,-19.978,166.311,22.807
58.948,150.672,-19.814,163.415,22.807
58.949,150.652,-19.654,160.593,22.807
58.95,150.632,-19.496,157.843,22.807
58.951,150.613,-19.341,155.161,22.807
58.952,150.594,-19.188,152.546,22.807
58.953,150.575,-19.038,149.996,22.807
58.954,150.556,-18.891,147.507,22.807
58.955,150.537,-18.745,145.08,22.807
58.956,150.518,-18.603,142.71,22.807
58.957,150.5,-18.462,140.397,22.807
58.958,150.481,-18.324,138.139,22.807
58.959,150.463,-18.188,135.934,22.807
58.96,150.445,-18.055,133.78,22.807
58.961,150.427,-17.923,131.676,22.807
58.962,150.409,-17.793,129.62,22.807
58.963,150.391,-17.666,127.611,22.807
58.964,150.374,-17.54,125.647,22.807
58.965,150.356,-17.416,123.728,22.807
58.966,150.339,-17.294,121.851,22.807
58.967,150.322,-17.174,120.015,22.807
58.968,150.305,-17.056,118.22,22.807
58.969,150.288,-16.94,116.464,22.807
58.97,150.271,-16.825,114.746,22.807
58.971,150.254,-16.712,113.064,22.807
58.972,150.237,-16.6,111.419,22.807
58.973,150.221,-16.491,109.808,22.807
58.974,150.204,-16.382,108.231,22.807
58.975,150.188,-16.276,106.687,22.807
58.976,150.172,-16.171,105.175,22.807
58.977,150.156,-16.067,103.694,22.807
58.978,150.14,-15.965,102.243,22.807
58.979,150.124,-15.864,100.822,22.807
58.98,150.108,-15.764,99.43,22.807
58.981,150.092,-15.666,98.065,22.807
58.982,150.077,-15.57,96.727,22.807
58.983,150.061,-15.474,95.416,22.807
58.984,150.046,-15.38,94.131,22.807
58.985,150.03,-15.287,92.87,22.807
58.986,150.015,-15.196,91.634,22.807
58.987,150,-15.105,90.422,22.807
58.988,149.985,-15.016,89.233,22.807
58.989,149.97,-14.928,88.067,22.807
58.99,149.955,-14.841,86.922,22.807
58.991,149.94,-14.755,85.799,22.807
58.992,149.925,-14.67,84.697,22.807
58.993,149.911,-14.587,83.616,22.807
58.994,149.896,-14.504,82.554,22.807
58.995,149.882,-14.423,81.512,22.807
58.996,149.867,-14.342,80.488,22.807
58.997,149.853,-14.263,79.484,22.807
58.998,149.839,-14.183,78.497,22.807
58.999,149.824,-14.103,77.515,22.807
59,149.809,-14.023,76.533,22.807
59.001,149.794,-13.942,75.551,22.807
59.003,149.779,-13.861,74.57,22.807
59.004,149.764,-13.779,73.588,22.807
59.005,149.748,-13.696,72.607,22.807
59.006,149.732,-13.614,71.626,22.807
59.007,149.716,-13.531,70.646,22.807
59.008,149.7,-13.447,69.666,22.807
59.01,149.684,-13.363,68.686,22.807
59.011,149.667,-13.278,67.706,22.807
59.012,149.65,-13.193,66.726,22.807
59.013,149.633,-13.107,65.747,22.807
59.015,149.616,-13.021,64.768,22.807
59.016,149.598,-12.934,63.789,22.807
59.017,149.58,-12.846,62.811,22.807
59.019,149.562,-12.758,61.833,22.807
59.02,149.543,-12.67,60.855,22.807
59.022,149.525,-12.581,59.878,22.807
59.023,149.505,-12.491,58.901,22.807
59.025,149.486,-12.4,57.924,22.807
59.027,149.466,-12.309,56.948,22.807
59.028,149.446,-12.218,55.972,22.807
59.03,149.426,-12.125,54.996,22.807
59.032,149.405,-12.033,54.021,22.807
59.033,149.384,-11.939,53.046,22.807
59.035,149.362,-11.844,52.072,22.807
59.037,149.34,-11.749,51.098,22.807
59.039,149.318,-11.654,50.124,22.807
59.041,149.295,-11.557,49.151,22.807
59.043,149.272,-11.46,48.179,22.807
59.045,149.248,-11.362,47.207,22.807
59.047,149.224,-11.263,46.235,22.807
59.049,149.199,-11.163,45.264,22.807
59.052,149.174,-11.063,44.294,22.807
59.054,149.148,-10.961,43.324,22.807
59.056,149.122,-10.859,42.355,22.807
59.059,149.095,-10.756,41.386,22.807
59.061,149.067,-10.652,40.418,22.807
59.064,149.039,-10.547,39.451,22.807
59.067,149.01,-10.441,38.484,22.807
59.07,148.981,-10.333,37.519,22.807
59.073,148.95,-10.225,36.554,22.807
59.076,148.919,-10.116,35.589,22.807
59.079,148.887,-10.006,34.626,22.807
59.082,148.854,-9.895,33.664,22.807
59.086,148.82,-9.782,32.702,22.807
59.089,148.786,-9.669,31.742,22.807
59.093,148.75,-9.554,30.782,22.807
59.097,148.713,-9.438,29.824,22.807
59.101,148.675,-9.32,28.867,22.807
59.105,148.635,-9.201,27.911,22.807
59.11,148.594,-9.081,26.956,22.807
59.114,148.552,-8.96,26.003,22.807
59.119,148.509,-8.837,25.051,22.807
