# BEST 0-5 (Up to date)
# 722 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
59.124,148.463,-8.712,24.1,22.807
59.13,148.416,-8.586,23.152,22.807
59.136,148.367,-8.458,22.205,22.807
59.142,148.316,-8.329,21.26,22.807
59.148,148.263,-8.198,20.317,22.807
59.155,148.207,-8.065,19.376,22.807
59.162,148.148,-7.93,18.437,22.807
59.17,148.087,-7.793,17.502,22.807
59.178,148.022,-7.654,16.568,22.807
59.187,147.954,-7.514,15.638,22.807
59.197,147.882,-7.371,14.712,22.807
59.208,147.805,-7.226,13.788,22.807
59.219,147.723,-7.078,12.869,22.807
59.232,147.635,-6.929,11.955,22.807
59.245,147.541,-6.777,11.045,22.807
59.261,147.439,-6.623,10.141,22.807
59.278,147.328,-6.466,9.243,22.807
59.297,147.207,-6.307,8.353,22.807
59.318,147.072,-6.145,7.471,22.807
59.343,146.922,-5.982,6.599,22.807
59.372,146.752,-5.817,5.739,22.807
59.406,146.557,-5.65,4.893,22.807
59.447,146.328,-5.483,4.064,22.807
59.498,146.053,-5.317,3.258,22.807
59.563,145.711,-5.155,2.48,22.807
59.652,145.26,-5.001,1.742,22.807
59.782,144.618,-4.862,1.061,22.807
60.003,143.558,-4.759,0.47,22.807
60.503,141.183,-4.74,0.038,22.807
61.003,138.809,-4.759,-0.039,22.807
61.503,136.435,-4.737,0.043,22.807
62.003,134.06,-4.759,-0.044,22.807
62.503,131.687,-4.735,0.049,22.807
63.003,129.313,-4.76,-0.05,22.807
63.503,126.94,-4.732,0.055,22.807
64.003,124.567,-4.76,-0.056,22.807
64.503,122.195,-4.729,0.062,22.807
65.003,119.822,-4.761,-0.064,22.807
65.503,117.451,-4.726,0.07,22.807
66.003,115.078,-4.762,-0.073,22.807
66.503,112.707,-4.723,0.08,22.807
67.003,110.336,-4.764,-0.083,22.807
67.503,107.965,-4.719,0.09,22.807
68.003,105.594,-4.766,-0.094,22.807
68.503,103.224,-4.714,0.103,22.807
69.003,100.853,-4.768,-0.107,22.807
69.503,98.484,-4.71,0.117,22.807
70.003,96.113,-4.771,-0.122,22.807
70.503,93.745,-4.704,0.133,22.807
71.003,91.375,-4.774,-0.14,22.807
71.503,89.007,-4.699,0.151,22.807
72.003,86.637,-4.778,-0.159,22.807
72.503,84.27,-4.692,0.172,22.807
73.003,81.901,-4.783,-0.182,22.807
73.503,79.534,-4.685,0.197,22.807
74.003,77.166,-4.789,-0.208,22.807
74.503,74.8,-4.676,0.225,22.807
75.003,72.432,-4.795,-0.238,22.807
75.503,70.066,-4.667,0.257,22.807
76.003,67.699,-4.803,-0.272,22.807
76.503,65.334,-4.656,0.294,22.807
77.003,62.967,-4.812,-0.312,22.807
77.503,60.603,-4.644,0.336,22.807
78.003,58.236,-4.823,-0.357,22.807
78.503,55.873,-4.63,0.385,22.807
79.003,53.507,-4.835,-0.41,22.807
79.503,51.145,-4.614,0.442,22.807
80.003,48.779,-4.849,-0.471,22.807
80.503,46.418,-4.596,0.507,22.807
80.98,44.162,-4.854,-0.54,22.807
81.426,42.05,-4.617,0.53,22.807
81.881,39.902,-4.822,-0.45,22.807
82.381,37.541,-4.622,0.4,22.807
82.881,35.176,-4.835,-0.426,22.807
83.381,32.816,-4.605,0.46,22.807
83.881,30.453,-4.85,-0.49,22.807
84.372,28.138,-4.591,0.529,22.807
84.828,25.984,-4.839,-0.544,22.807
85.271,23.889,-4.624,0.487,22.807
85.766,21.55,-4.825,-0.407,22.807
86.266,19.192,-4.609,0.432,22.807
86.766,16.829,-4.84,-0.461,22.807
87.266,14.472,-4.591,0.498,22.807
87.751,12.182,-4.849,-0.532,22.807
88.203,10.048,-4.604,0.541,22.807
88.648,7.951,-4.815,-0.473,22.807
89.148,5.594,-4.614,0.401,22.807
89.648,3.233,-4.829,-0.429,22.807
90.148,0.877,-4.597,0.464,22.807
# Event GROUND_HIT occurred at t=90.337 seconds
# Event SIMULATION_END occurred at t=90.337 seconds
90.337,0,-4.69,-0.497,22.807
